cells_r14_total,cells_r2_total,cells_r5_total,claim_cells,family,group,maps_present,name,nearest_hex_global_min,nearest_hex_start_median,nearest_hex_start_min,nominal_footprint_cells,object_id,representation,role,starts,starts_within_14,starts_within_2,starts_within_5
6,0,0,31,adult_tree,2p,8,Elm 2,7,26.5,7,0,71,runtime,world_decor,16,2,0,0
4,0,0,34,adult_tree,2p,8,Oak,9,32.5,9,0,72,runtime,world_decor,16,4,0,0
4,0,1,25,adult_tree,2p,8,Adult Tree 6,5,33.5,5,0,73,runtime,world_decor,16,2,0,1
5,0,1,25,adult_tree,2p,8,Adult Tree 7,3,33.5,3,0,74,runtime,world_decor,16,3,0,1
4,0,0,25,adult_tree,2p,8,Adult Tree 8,10,26.0,10,0,75,runtime,world_decor,16,3,0,0
2,0,0,13,adult_tree,2p,8,Adult Tree 9,10,43.5,10,0,76,runtime,world_decor,16,2,0,0
1,0,0,29,adult_tree,2p,8,Adult Tree 10,9,27.0,9,0,77,runtime,world_decor,16,1,0,0
0,0,0,1,palm,2p,8,Palm 1,32,112.0,32,0,78,runtime,world_decor,16,0,0,0
0,0,0,0,palm,2p,8,Palm 2,77,117.5,77,0,79,runtime,world_decor,16,0,0,0
9,0,2,48,adult_tree,2p,8,Adult Tree 13,4,16.5,4,0,80,runtime,world_decor,16,6,0,2
10,0,1,59,adult_tree,2p,8,Adult Tree 14,3,18.0,3,0,81,runtime,world_decor,16,6,0,1
7,0,0,18,reef,2p,8,Reef 2,8,118.0,8,0,112,runtime,world_decor,16,7,0,0
34,0,1,108,reef,2p,8,Reef 3,5,115.5,5,0,113,runtime,world_decor,16,8,0,1
5,0,0,23,building_stone,2p,8,Building Stone 1,6,24.0,6,0,115,runtime,world_decor,16,4,0,0
4,0,0,17,building_stone,2p,8,Building Stone 2,9,26.0,9,0,116,runtime,world_decor,16,4,0,0
6,0,0,36,building_stone,2p,8,Building Stone 3,7,20.0,7,0,117,runtime,world_decor,16,4,0,0
3,0,0,25,building_stone,2p,8,Building Stone 4,6,27.0,6,0,118,runtime,world_decor,16,3,0,0
3,0,1,18,building_stone,2p,8,Building Stone 5,4,26.5,4,0,119,runtime,world_decor,16,3,0,1
4,0,1,17,building_stone,2p,8,Building Stone 6,5,31.5,5,0,120,runtime,world_decor,16,3,0,1
3,0,0,31,building_stone,2p,8,Building Stone 7,7,21.0,7,0,121,runtime,world_decor,16,3,0,0
5,0,0,23,building_stone,2p,8,Building Stone 8,13,22.0,13,0,122,runtime,world_decor,16,4,0,0
3,0,1,27,building_stone,2p,8,Building Stone 9,5,25.5,5,0,123,runtime,world_decor,16,3,0,1
5,0,0,28,building_stone,2p,8,Building Stone 10,8,21.5,8,0,124,runtime,world_decor,16,5,0,0
7,0,0,30,building_stone,2p,8,Building Stone 11,7,18.5,7,0,125,runtime,world_decor,16,6,0,0
4,0,0,31,building_stone,2p,8,Building Stone 12,6,23.0,6,0,126,runtime,world_decor,16,4,0,0
1,0,0,3,building_stone,2p,8,Building Stone 13,13,65.0,13,0,127,runtime,world_decor,16,1,0,0
16,4,16,16,territory_marker,2p,8,Red flag,2,3.0,2,16,255,runtime,runtime_overlay,16,16,4,16
2,0,0,7,big_stone,2p,8,Big Stone 1,8,39.0,8,0,1,static,world_decor,16,2,0,0
0,0,0,9,big_stone,2p,8,Big Stone 2,16,36.0,16,0,2,static,world_decor,16,0,0,0
1,0,0,5,big_stone,2p,8,Big Stone 3,14,63.5,14,0,3,static,world_decor,16,1,0,0
0,0,0,1,big_stone,2p,8,Big Stone 4,29,67.5,29,0,4,static,world_decor,16,0,0,0
2,0,0,8,big_stone,2p,8,Big Stone 5,8,48.5,8,0,5,static,world_decor,16,2,0,0
0,0,0,4,big_stone,2p,8,Big Stone 6,15,43.5,15,0,6,static,world_decor,16,0,0,0
3,1,1,5,big_stone,2p,8,Big Stone 7,2,45.5,2,1,7,static,world_decor,16,3,1,1
0,0,0,2,big_stone,2p,8,Big Stone 8,15,59.0,15,0,8,static,world_decor,16,0,0,0
0,0,0,3,decorative_stone,2p,8,Decorative Stone 1,17,52.5,17,0,9,static,world_decor,16,0,0,0
1,0,0,8,decorative_stone,2p,8,Decorative Stone 2,13,42.0,13,0,10,static,world_decor,16,1,0,0
1,0,0,8,decorative_stone,2p,8,Decorative Stone 3,9,48.0,9,0,11,static,world_decor,16,1,0,0
1,1,1,6,decorative_stone,2p,8,Decorative Stone 4,2,48.5,2,1,12,static,world_decor,16,1,1,1
0,0,0,4,border_stone,2p,8,Border Stone 1,17,57.0,17,0,13,static,world_decor,16,0,0,0
0,0,0,0,border_stone,2p,8,Border Stone 2,37,66.5,37,0,14,static,world_decor,16,0,0,0
2,0,0,6,border_stone,2p,8,Border Stone 3,9,63.5,9,0,15,static,world_decor,16,2,0,0
0,0,0,7,border_stone,2p,8,Border Stone 4,19,53.5,19,0,16,static,world_decor,16,0,0,0
0,0,0,2,border_stone,2p,8,Border Stone 5,30,59.0,30,0,17,static,world_decor,16,0,0,0
1,0,1,6,border_stone,2p,8,Border Stone 6,5,43.5,5,0,18,static,world_decor,16,1,0,1
0,0,0,6,border_stone,2p,8,Border Stone 7,20,50.5,20,0,19,static,world_decor,16,0,0,0
0,0,0,7,border_stone,2p,8,Border Stone 8,21,38.5,21,0,20,static,world_decor,16,0,0,0
1,0,0,4,small_stone,2p,8,Small Stone 1,12,64.5,12,0,21,static,world_decor,16,1,0,0
1,0,0,4,small_stone,2p,8,Small Stone 2,13,58.0,13,0,22,static,world_decor,16,1,0,0
0,0,0,6,small_stone,2p,8,Small Stone 3,24,46.5,24,0,23,static,world_decor,16,0,0,0
0,0,0,2,small_stone,2p,8,Small Stone 4,23,63.5,23,0,24,static,world_decor,16,0,0,0
3,0,0,5,small_stone,2p,8,Small Stone 5,13,62.0,13,0,25,static,world_decor,16,3,0,0
2,0,0,8,small_stone,2p,8,Small Stone 6,9,38.0,9,0,26,static,world_decor,16,2,0,0
0,0,0,6,small_stone,2p,8,Small Stone 7,19,44.0,19,0,27,static,world_decor,16,0,0,0
2,0,0,7,small_stone,2p,8,Small Stone 8,10,44.0,10,0,28,static,world_decor,16,2,0,0
0,0,0,0,wreck,2p,6,Wreck 1,76,265.5,76,0,29,static,world_decor,12,0,0,0
0,0,0,0,wreck,2p,3,Wreck 2,188,265.0,188,0,30,static,world_decor,6,0,0,0
0,0,0,0,wreck,2p,7,Wreck 3,105,346.0,105,0,31,static,world_decor,14,0,0,0
0,0,0,1,wreck,2p,7,Wreck 4,15,273.0,15,0,32,static,world_decor,14,0,0,0
0,0,0,0,wreck,2p,5,Wreck 5,156,367.0,156,0,33,static,world_decor,10,0,0,0
2,0,0,6,grave,2p,8,Grave,12,70.0,12,0,34,static,world_decor,16,2,0,0
0,0,0,4,small_plant,2p,8,Small Plant 1,19,62.0,19,0,35,static,world_decor,16,0,0,0
0,0,0,7,small_plant,2p,8,Small Plant 2,17,64.0,17,0,36,static,world_decor,16,0,0,0
1,0,1,3,small_plant,2p,8,Small Plant 3,3,79.0,3,1,37,static,world_decor,16,1,0,1
0,0,0,6,toadstool,2p,8,Toadstool 1,18,41.5,18,0,38,static,world_decor,16,0,0,0
2,1,1,10,toadstool,2p,8,Toadstool 2,2,40.5,2,1,39,static,world_decor,16,2,1,1
0,0,0,6,toadstool,2p,8,Toadstool 3,16,53.0,16,0,40,static,world_decor,16,0,0,0
0,0,0,6,stump,2p,8,Tree Stump 1,18,63.5,18,0,41,static,world_decor,16,0,0,0
3,0,1,7,stump,2p,8,Tree Stump 2,4,54.0,4,0,42,static,world_decor,16,3,0,1
0,0,0,0,dead_tree,2p,8,Dead Tree 1,88,263.5,88,0,43,static,world_decor,16,0,0,0
0,0,0,0,dead_tree,2p,8,Dead Tree 2,106,332.5,106,0,44,static,world_decor,16,0,0,0
0,0,0,1,cactus,2p,8,Cactus 1,34,157.0,34,0,45,static,world_decor,16,0,0,0
0,0,0,0,cactus,2p,8,Cactus 2,54,155.0,54,0,46,static,world_decor,16,0,0,0
0,0,0,0,cactus,2p,8,Cactus 3,46,159.5,46,0,47,static,world_decor,16,0,0,0
0,0,0,0,cactus,2p,8,Cactus 4,50,164.5,50,0,48,static,world_decor,16,0,0,0
0,0,0,0,skeleton,2p,8,Skeleton,86,205.5,86,0,49,static,world_decor,16,0,0,0
3,0,0,10,small_flower,2p,8,Small Flower 1,7,47.0,7,0,50,static,world_decor,16,3,0,0
1,0,0,2,small_flower,2p,8,Small Flower 2,12,68.5,12,0,51,static,world_decor,16,1,0,0
0,0,0,2,small_flower,2p,8,Small Flower 3,16,71.0,16,0,52,static,world_decor,16,0,0,0
1,0,0,5,small_bush,2p,8,Small Bush 1,6,58.5,6,0,53,static,world_decor,16,1,0,0
1,0,0,5,small_bush,2p,8,Small Bush 2,10,47.5,10,0,54,static,world_decor,16,1,0,0
3,0,1,4,small_bush,2p,8,Small Bush 3,3,54.0,3,1,55,static,world_decor,16,3,0,1
0,0,0,4,small_bush,2p,8,Small Bush 4,18,53.0,18,0,56,static,world_decor,16,0,0,0
3,0,0,3,bush,2p,8,Bush 1,9,65.5,9,0,57,static,world_decor,16,3,0,0
1,1,1,6,bush,2p,8,Bush 2,2,103.5,2,1,58,static,world_decor,16,1,1,1
0,0,0,3,bush,2p,8,Bush 3,15,65.5,15,0,59,static,world_decor,16,0,0,0
0,0,0,10,bush,2p,8,Bush 4,17,30.5,17,0,60,static,world_decor,16,0,0,0
1,0,0,7,bush,2p,8,Bush 5,14,46.0,14,0,61,static,world_decor,16,1,0,0
0,0,0,0,reed,2p,2,Reed 1,51,358.0,51,0,62,static,world_decor,4,0,0,0
0,0,0,1,reed,2p,2,Reed 2,24,303.5,24,0,63,static,world_decor,4,0,0,0
0,0,0,0,reed,2p,2,Reed 3,207,493.0,207,0,64,static,world_decor,4,0,0,0
0,0,0,0,reed,2p,2,Reed 4,127,390.0,127,0,65,static,world_decor,4,0,0,0
0,0,0,0,reed,2p,1,Reed 5,244,252.0,244,0,66,static,world_decor,2,0,0,0
4,0,0,38,adult_tree,2p,8,Birch 1,6,23.5,6,0,68,static,world_decor,16,2,0,0
10,0,2,44,adult_tree,2p,8,Birch 2,4,22.5,4,0,69,static,world_decor,16,6,0,2
3,0,0,20,adult_tree,2p,8,Elm 1,11,27.5,11,0,70,static,world_decor,16,3,0,0
6,0,0,31,adult_tree,2p,8,Elm 2,7,26.5,7,0,71,static,world_decor,16,2,0,0
4,0,0,34,adult_tree,2p,8,Oak,9,32.5,9,0,72,static,world_decor,16,4,0,0
4,0,1,25,adult_tree,2p,8,Adult Tree 6,5,33.5,5,0,73,static,world_decor,16,2,0,1
5,0,1,25,adult_tree,2p,8,Adult Tree 7,3,33.5,3,0,74,static,world_decor,16,3,0,1
4,0,0,25,adult_tree,2p,8,Adult Tree 8,10,26.0,10,0,75,static,world_decor,16,3,0,0
2,0,0,13,adult_tree,2p,8,Adult Tree 9,10,43.5,10,0,76,static,world_decor,16,2,0,0
1,0,0,29,adult_tree,2p,8,Adult Tree 10,9,27.0,9,0,77,static,world_decor,16,1,0,0
0,0,0,1,palm,2p,8,Palm 1,32,112.0,32,0,78,static,world_decor,16,0,0,0
0,0,0,0,palm,2p,8,Palm 2,77,117.5,77,0,79,static,world_decor,16,0,0,0
9,0,2,48,adult_tree,2p,8,Adult Tree 13,4,16.5,4,0,80,static,world_decor,16,6,0,2
10,0,1,59,adult_tree,2p,8,Adult Tree 14,3,18.0,3,0,81,static,world_decor,16,6,0,1
5,0,0,23,building_stone,2p,8,Building Stone 1,6,24.0,6,0,115,static,world_decor,16,4,0,0
4,0,0,17,building_stone,2p,8,Building Stone 2,9,26.0,9,0,116,static,world_decor,16,4,0,0
6,0,0,36,building_stone,2p,8,Building Stone 3,7,20.0,7,0,117,static,world_decor,16,4,0,0
3,0,0,25,building_stone,2p,8,Building Stone 4,6,27.0,6,0,118,static,world_decor,16,3,0,0
3,0,1,18,building_stone,2p,8,Building Stone 5,4,26.5,4,0,119,static,world_decor,16,3,0,1
4,0,1,17,building_stone,2p,8,Building Stone 6,5,31.5,5,0,120,static,world_decor,16,3,0,1
3,0,0,31,building_stone,2p,8,Building Stone 7,7,21.0,7,0,121,static,world_decor,16,3,0,0
5,0,0,23,building_stone,2p,8,Building Stone 8,13,22.0,13,0,122,static,world_decor,16,4,0,0
3,0,1,27,building_stone,2p,8,Building Stone 9,5,25.5,5,0,123,static,world_decor,16,3,0,1
5,0,0,28,building_stone,2p,8,Building Stone 10,8,21.5,8,0,124,static,world_decor,16,5,0,0
7,0,0,30,building_stone,2p,8,Building Stone 11,7,18.5,7,0,125,static,world_decor,16,6,0,0
4,0,0,31,building_stone,2p,8,Building Stone 12,6,23.0,6,0,126,static,world_decor,16,4,0,0
1,0,0,3,building_stone,2p,8,Building Stone 13,13,65.0,13,0,127,static,world_decor,16,1,0,0
